,tree_num,feature,value
0,0,x2,0.04012902226044196
3,1,x2,0.06272634711779457
6,2,x2,0.057891176470588224
7,2,x1,0.02351970199844633
11,3,x1,0.010973422741189565
12,3,x2,0.1587620936241813
15,3,x1,0.016026637693261014
18,4,x5,0.008400520833333147
20,4,x2,0.04377254197298941
23,5,x2,0.0703781562625051
26,6,x2,0.04026380315886963
28,6,x1,0.00964996682703051
31,7,x4,0.00865385649898237
32,7,x2,0.029710428562308544
36,8,x3,0.0015023128125423724
37,8,x2,0.08929907442034113
40,8,x4,0.00918020269332226
43,9,x5,0.003905945322793203
44,9,x1,0.011576919484054038
48,10,x3,0.011141885964912446
49,10,x5,0.054825174825174794
52,10,x1,0.014334356449568653
55,11,x5,0.008268749999999991
56,11,x1,0.024110186688311663
59,11,x4,0.014918180541249326
62,12,x2,0.0819599572457246
65,13,x3,0.0038671079822072962
66,13,x1,0.05801980961190123
69,13,x1,0.018492187980913066
72,14,x2,0.055600080128205054
75,15,x2,0.11862725976429701
78,16,x1,0.014423007712082159
79,16,x4,0.003545815057024948
83,17,x5,0.0038992063492062634
84,17,x4,0.023423851635041626
87,17,x1,0.028259254622094387
90,18,x2,0.060791008771929944
91,18,x5,0.023464233338764736
94,18,x4,0.017537410156710287
97,19,x2,0.018237819037133396
98,19,x4,0.009110368671370439
102,20,x4,0.007296450105100216
103,20,x5,0.01356943728399329
106,20,x2,0.07035231254184615
109,21,x2,0.018290313557803306
112,22,x2,0.05629877725213389
115,23,x2,0.07118835632489667
118,24,x2,0.06294309357733935
120,24,x4,0.013768034119382822
123,25,x2,0.09442987046103635
126,26,x2,0.05499999999999999
129,27,x5,0.007414272474513539
130,27,x1,0.02164056004961812
133,27,x2,0.06139966396376639
136,28,x2,0.05663345010509441
139,29,x2,0.05951250000000008
142,30,x2,0.07419490548023755
145,31,x2,0.07597387320205257
146,31,x1,0.017426685217459936
150,32,x4,0.0045233404366532
151,32,x5,0.07992656693955386
154,32,x2,0.10556689787967766
158,34,x1,0.020853983656792585
160,34,x2,0.05150102846416444
163,35,x2,0.05447611471536796
164,35,x1,0.0190552523908058
168,36,x5,0.013597479428733461
169,36,x3,0.018441352716330905
173,37,x1,0.010001020408163253
174,37,x2,0.08125227579098326
178,38,x2,0.06627282853285327
181,39,x4,0.0019698425504450223
182,39,x5,0.10551825727316516
185,39,x1,0.007582872072634694
188,40,x2,0.0664317857946447
189,40,x1,0.020664895216381488
193,41,x2,0.05123345959595965
196,42,x5,0.006512750070442386
197,42,x2,0.052435384701932874
200,42,x5,0.021384523889032114
203,43,x2,0.06496651486337701
204,43,x5,0.01566614671860067
208,44,x2,0.06316613972350477
209,44,x4,0.016084257612293873
213,45,x1,0.005883056014882204
214,45,x1,0.025525346881682454
217,45,x2,0.07903524057848438
220,46,x2,0.04800024522069856
221,46,x1,0.014328086216105873
225,47,x5,0.005789548828364577
226,47,x2,0.07689634356075381
229,47,x3,0.0017501215362179523
232,48,x1,0.011570512820512802
233,48,x3,0.008376168564384778
237,49,x1,0.012807789855072582
238,49,x2,0.09813966750010966
